Unnamed: 0,title,year,genres,rating,plot,cast,director,countries,translated_plot,genres_vn,country_vn
46,Under the Rainbow,1981,['Comedy'],5.3,"A visiting dignitary, a CIA agent, a Nazi spy, Japanese tourists, an assassin and a group of ""midget"" actors from The Wizard of Oz (1939) all check into an elite Los Angeles hotel called Under the Rainbow.","['Chevy Chase', 'Carrie Fisher', 'Eve Arden', 'Joseph Maher', 'Robert Donner']",['Steve Rash'],['United States'],"Một vị khách quan trọng, một đặc vụ CIA, một điệp viên Nazi, du khách Nhật Bản, một sát thủ và một nhóm diễn viên ""tay ngắn"" từ bộ phim The Wizard of Oz (1939) đều đặt phòng tại khách sạn cao cấp Los Angeles được gọi là Under the Rainbow.",['Hài'],['Hoa Kỳ']
47,The Alarmist,1997,['Comedy'],5.2,A young and hungry salesman lands a job with a company that installs alarm systems. He strikes up a sexual relationship with a woman client who is also a single mother and then learns some pretty unsavory things about the business.,"['David Arquette', 'Stanley Tucci', 'Kate Capshaw', 'Mary McCormack', 'Ryan Reynolds']",['Evan Dunsky'],['United States'],Một người bán hàng trẻ và đói tìm được việc làm với một công ty lắp đặt hệ thống báo động. Anh kết bạn tình dục với một phụ nữ khách hàng độc thân và sau đó học được một số điều không mấy tốt đẹp về ngành công nghiệp này.,['Hài'],['Hoa Kỳ']
48,Shanghai Noon,2000,"['Action', 'Adventure', 'Comedy', 'Western']",6.6,"A Chinese man travels to the Wild West to rescue a kidnapped Princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss.","['Jackie Chan', 'Owen Wilson', 'Lucy Liu', 'Brandon Merrill', 'Roger Yuan']",['Tom Dey'],"['United States', 'Hong Kong']","Một người đàn ông Trung Quốc đến Tây hoang để cứu một công chúa bị bắt cóc. Sau khi hợp tác với một cướp xe lửa, cặp đôi không giống nhau đã đối đầu với kẻ phản quốc Trung Quốc và chủ nhân của họ bị bê trễ.","['Hành động', 'Phiêu lưu', 'Hài', 'Miền Tây']","['Hoa Kỳ', 'Hồng Kông']"
49,A Night at the Roxbury,1998,"['Comedy', 'Music', 'Romance']",6.2,"Two dim-witted brothers dream of owning their own dance club or at least getting into the coolest and most exclusive club in town, The Roxbury.","['Will Ferrell', 'Chris Kattan', 'Raquel Gardner', 'Viveca Paulin', 'Paulette Braxton']",['John Fortenberry'],['United States'],"Hai anh em không có óc lý trí mơ ước sở hữu một câu lạc bộ nhảy của riêng mình hoặc ít ra là vào được câu lạc bộ sang trọng và độc quyền nhất trong thành phố, The Roxbury.","['Hài', 'Âm nhạc', 'Lãng mạn']",['Hoa Kỳ']
50,Babes in Toyland,1961,"['Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",6.1,"Mary Contrary is set to marry Tom Piper when he is kidnapped by Roderigo and Gonzorgo, two goons working for the evil Barnaby who wants to marry Mary for her inheritance.","['Ray Bolger', 'Tommy Sands', 'Annette Funicello', 'Ed Wynn', 'Tommy Kirk']",['Jack Donohue'],['United States'],"Mary Contrary sắp lấy Tom Piper nhưng anh bị bắt cóc bởi hai tên tàn tặc Roderigo và Gonzorgo đang làm theo lệnh của thằng quái ác Barnaby, người muốn lấy được thừa kế của Mary cho mình.","['Hài', 'Gia đình', 'Giả tưởng', 'Nhạc kịch', 'Lãng mạn']",['Hoa Kỳ']
51,The Incredibly True Adventure of Two Girls in Love,1995,"['Comedy', 'Drama', 'Romance']",6.6,An adventurous love story between two young women of different social and economic backgrounds who find themselves going through all the typical struggles of a new romance.,"['Laurel Holloman', 'Maggie Moore', 'Kate Stafford', 'Sabrina Artel', 'Toby Poser']",['Maria Maggenti'],['United States'],"Câu chuyện tình yêu phiêu lưu giữa hai người phụ nữ trẻ khác biệt về mặt xã hội và kinh tế, họ tìm thấy mình phải trải qua tất cả những khó khăn điển hình của một tình yêu mới.","['Hài', 'Chính kịch', 'Lãng mạn']",['Hoa Kỳ']
52,Full Tilt Boogie,1997,['Documentary'],6.6,A documentary about the production of From Dusk Till Dawn (1996) and the people who made it.,"['Rick Stribling', 'Ken Bondy', 'Amy Minda Cohen', 'Elizabeth Avellan', 'Dieter Busch']",['Sarah Kelly'],['United States'],Một bộ phim tài liệu về việc sản xuất From Dusk Till Dawn (1996) và những người làm ra nó.,['Tài liệu'],['Hoa Kỳ']
53,Bell Book and Candle,1958,"['Comedy', 'Fantasy', 'Romance']",6.8,"A modern-day witch likes her neighbor but despises his fiancée, so she enchants him to love her instead.","['James Stewart', 'Kim Novak', 'Jack Lemmon', 'Ernie Kovacs', 'Hermione Gingold']",['Richard Quine'],['United States'],"Một phù thủy hiện đại thích hàng xóm của mình nhưng ghét điên cốt của anh ta, vì vậy cô đã dùng phép thuật để khiến anh ấy yêu cô thay vì điên cốt.","['Hài', 'Giả tưởng', 'Lãng mạn']",['Hoa Kỳ']
54,The Decline of Western Civilization Part II: The Metal Years,1988,"['Documentary', 'Music']",7.2,"Documentary showcase, what life was like for the music artists living during the Los Angeles Heavy Metal scene in the mid and late 1980s.","['Steven Tyler', 'Joe Perry', 'Alice Cooper', 'Gene Simmons', 'Paul Stanley']",['Penelope Spheeris'],['United States'],Phim tài liệu thể hiện những gì cuộc sống như thế nào đối với các nghệ sĩ âm nhạc đang sống trong cảnh metal nặng ở Los Angeles vào giữa và cuối thập kỷ 1980.,"['Tài liệu', 'Âm nhạc']",['Hoa Kỳ']
55,Flipper,1996,"['Adventure', 'Crime', 'Drama', 'Family']",5.3,A teenage boy sent to spend the summer with his eccentric uncle on the Florida coast befriends a remarkable dolphin and takes on local bad guys who are polluting the water.,"['Elijah Wood', 'Paul Hogan', 'Jonathan Banks', 'Robert Deacon', 'Ann Carey']",['Alan Shapiro'],['United States'],"Một cậu bé tuổi teenager được gửi đến ở với chú ruột kỳ lạ của mình tại bờ biển Florida vào mùa hè và trở thành bạn của một con cá heo đáng nhớ, đồng thời chống lại những kẻ ác có liên quan đến ô nhiễm nước địa phương.","['Phiêu lưu', 'Tội phạm', 'Chính kịch', 'Gia đình']",['Hoa Kỳ']
56,Cabaret,1972,"['Drama', 'Music', 'Musical', 'Romance']",7.8,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,"['Liza Minnelli', 'Michael York', 'Helmut Griem', 'Joel Grey', 'Fritz Wepper']",['Bob Fosse'],['United States'],"Nàng công nương câu lạc bộ ở thời kỳ Cộng hòa Weimar, thành phố Berlin chạm trán với hai người đàn ông trong khi Đảng Quốc xã lên ngôi xung quanh họ.","['Chính kịch', 'Âm nhạc', 'Nhạc kịch', 'Lãng mạn']",['Hoa Kỳ']
57,The Straight Story,1999,"['Biography', 'Drama']",8.0,"Alvin Straight, a 73-year-old, learns that his estranged brother, Lyle is critically ill. Unable to drive, Alvin embarks on a journey from Iowa to Mt. Zion, by riding a lawn mower. Will he succeed?","['Sissy Spacek', 'Jane Galloway Heitz', 'Joseph A. Carpenter', 'Donald Wiegert', 'Richard Farnsworth']",['David Lynch'],"['United Kingdom', 'France', 'United States']","Alvin Straight, một người đàn ông 73 tuổi, biết được em trai xa lạ của mình, Lyle đang gặp nguy hiểm trầm trọng. Không thể lái xe, Alvin bắt đầu hành trình từ bang Iowa đến Mt. Zion, bằng cách đi trên một chiếc máy cỏ. Anh ta có thể thành công?","['Tiểu sử', 'Chính kịch']","['Vương quốc Anh', 'Pháp', 'Hoa Kỳ']"
58,Topsy-Turvy,1999,"['Biography', 'Comedy', 'Drama', 'History', 'Musical']",7.3,"Set in the 1880s, the story of how, during a creative dry spell, the partnership of the legendary musical/theatrical writers Gilbert and Sullivan almost dissolves, before they turn it all around and write the Mikado.","['Allan Corduner', 'Dexter Fletcher', 'Sukie Smith', 'Roger Heathcott', 'Wendy Nottingham']",['Mike Leigh'],"['United Kingdom', 'United States']","Câu chuyện xảy ra vào cuối những năm 1880, về cách đối tác của các nhà văn nhạc kịch vĩ đại Gilbert và Sullivan gần như tan vỡ trong thời gian khô cằn sáng tạo trước khi họ xoay chuyển mọi thứ và viết Mikado.","['Tiểu sử', 'Hài', 'Chính kịch', 'Lịch sử', 'Nhạc kịch']","['Vương quốc Anh', 'Hoa Kỳ']"
59,Romeo Must Die,2000,"['Action', 'Crime', 'Thriller']",6.1,An avenging cop seeks out his brother's killer and falls for the daughter of a businessman who is involved in a money-deal with his father.,"['Jet Li', 'Aaliyah', 'Isaiah Washington', 'Russell Wong', 'Delroy Lindo']",['Andrzej Bartkowiak'],['United States'],Một cảnh sát tìm kiếm sự trả thù cho người anh trai mình và rơi vào tình yêu với con gái của một doanh nhân đang tham gia vào một thỏa thuận kinh tế với cha mình.,"['Hành động', 'Tội phạm', 'Giật gân']",['Hoa Kỳ']
60,Cat on a Hot Tin Roof,1958,['Drama'],7.9,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,"['Elizabeth Taylor', 'Paul Newman', 'Burl Ives', 'Jack Carson', 'Judith Anderson']",['Richard Brooks'],['United States'],"Brick là một cựu cầu thủ bóng đá nghiện rượu, uống say trong suốt cả ngày và chống lại tình cảm của vợ mình. Một lần đoàn tụ với cha đang ở trên bờ vực sự sống đã kích hoạt một loạt ký ức và sự nhận ra của cha và con trai.",['Chính kịch'],['Hoa Kỳ']
61,Superman II,1980,"['Action', 'Adventure', 'Sci-Fi']",6.8,"Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth.","['Gene Hackman', 'Christopher Reeve', 'Ned Beatty', 'Jackie Cooper', 'Sarah Douglas']","['Richard Lester', 'Richard Donner']","['United States', 'United Kingdom', 'Canada', 'France']",Superman đồng ý hy sinh các khả năng của mình để bắt đầu mối quan hệ với Lois Lane mà không biết rằng ba tội phạm Kryptonian ông vô tình đã thả ra đang chinh phục Trái đất.,"['Hành động', 'Phiêu lưu', 'Khoa học viễn tưởng']","['Hoa Kỳ', 'Vương quốc Anh', 'Canada', 'Pháp']"
62,Laura,1944,"['Drama', 'Film-Noir', 'Mystery']",7.9,A police detective falls in love with the woman whose murder he is investigating.,"['Gene Tierney', 'Dana Andrews', 'Clifton Webb', 'Vincent Price', 'Judith Anderson']","['Otto Preminger', 'Rouben Mamoulian']",['United States'],Một phát hiện điều tra cảnh sát rơi vào tình yêu với phụ nữ mà cái chết của cô đang được ông ta điều tra.,"['Chính kịch', 'Phim đen', 'Bí ẩn']",['Hoa Kỳ']
63,Willow,1988,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",7.2,A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen.,"['Val Kilmer', 'Joanne Whalley', 'Warwick Davis', 'Jean Marsh', 'Patricia Hayes']",['Ron Howard'],['United States'],Một nông dân trẻ được chọn thực hiện một hành trình đầy nguy hiểm để bảo vệ một bé nhỏ đặc biệt khỏi hoàng hậu ác quỷ.,"['Hành động', 'Phiêu lưu', 'Chính kịch', 'Giả tưởng', 'Lãng mạn']",['Hoa Kỳ']
64,New Rose Hotel,1998,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",5.2,"Two businessmen are hired to steal secrets from a rival, and decide to use a beautiful call girl to do so.","['Christopher Walken', 'Willem Dafoe', 'Asia Argento', 'Annabella Sciorra', 'John Lurie']",['Abel Ferrara'],['United States'],Hai doanh nhân được thuê để trộm cắp bí mật từ đối thủ cạnh tranh và quyết định sử dụng một cô gái đẹp làm điệp viên tình dục.,"['Chính kịch', 'Bí ẩn', 'Khoa học viễn tưởng', 'Giật gân']",['Hoa Kỳ']
65,Flight of the Navigator,1986,"['Adventure', 'Comedy', 'Family', 'Sci-Fi']",6.9,"In 1978, a boy travels eight years into the future and has an adventure with an intelligent, wisecracking alien ship.","['Joey Cramer', 'Paul Reubens', 'Cliff De Young', 'Veronica Cartwright', 'Sarah Jessica Parker']",['Randal Kleiser'],['United States'],"Năm 1978, một cậu bé đi qua tám năm vào tương lai và có một cuộc phiêu lưu với một con tàu người ngoài hành tinh thông minh, khôi hài.","['Phiêu lưu', 'Hài', 'Gia đình', 'Khoa học viễn tưởng']",['Hoa Kỳ']
66,The Three Musketeers,1993,"['Action', 'Adventure', 'Romance']",6.4,"France, 1625. Young d'Artagnan heads to Paris to join the Musketeers, but the evil cardinal has disbanded them. d'Artagnan meets Athos, Porthos, and Aramis, three rogue musketeers, and joins them on their quest to save the king and country.","['Charlie Sheen', 'Kiefer Sutherland', ""Chris O'Donnell"", 'Oliver Platt', 'Tim Curry']",['Stephen Herek'],"['United Kingdom', 'Austria', 'United States']","Pháp, 1625. Người trẻ d'Artagnan đi đến Paris để tham gia Sư tử Đen, nhưng hồng y tà ác đã giải thể họ. d'Artagnan gặp Athos, Porthos và Aramis, ba sư tử Đen phản diện, và tham gia với họ vào cuộc phiêu lưu của mình để cứu vua và đất nước.","['Hành động', 'Phiêu lưu', 'Lãng mạn']","['Vương quốc Anh', 'Áo', 'Hoa Kỳ']"
67,Mrs. Winterbourne,1996,"['Comedy', 'Drama', 'Romance']",6.2,"Connie, unwed and pregnant, is heading to Boston by train when she meets wealthy newlyweds Hugh and Patricia. The train crashes, and when Connie comes to in the hospital, she is mistaken for Patricia, who died in the crash with Hugh.","['Shirley MacLaine', 'Ricki Lake', 'Brendan Fraser', 'Miguel Sandoval', 'Loren Dean']",['Richard Benjamin'],['United States'],"Connie, không có chồng và mang thai, đang di chuyển đến Boston bằng tàu hỏa khi gặp cặp đôi giàu có vừa cưới Hugh và Patricia. Tàu bị tai nạn, khi Connie thức dậy trong bệnh viện, cô bị nhầm lẫn là Patricia, người đã chết trong vụ tai nạn cùng với Hugh.","['Hài', 'Chính kịch', 'Lãng mạn']",['Hoa Kỳ']
68,Higher Learning,1995,"['Crime', 'Drama', 'Thriller']",6.5,"People from all different walks of life, encounter racial tension, rape, responsibility, and the meaning of an education on a university campus.","['Omar Epps', 'Kristy Swanson', 'Michael Rapaport', 'Jennifer Connelly', 'Ice Cube']",['John Singleton'],['United States'],"Tín hiệu xung đột chủng tộc, vụ tấn công tình dục, trách nhiệm và ý nghĩa của một giáo dục trên một trường đại học.","['Tội phạm', 'Chính kịch', 'Giật gân']",['Hoa Kỳ']
69,Three Colors: White,1994,"['Comedy', 'Drama', 'Romance']",7.6,"After his wife divorces him, a Polish immigrant plots to get even with her.","['Zbigniew Zamachowski', 'Julie Delpy', 'Janusz Gajos', 'Jerzy Stuhr', 'Aleksander Bardini']",['Krzysztof Kieslowski'],"['Switzerland', 'France', 'Poland']",Sau khi vợ anh ly hôn anh ta đã lên kế hoạch để trả thù cho bà ấy.,"['Hài', 'Chính kịch', 'Lãng mạn']","['Thụy Sĩ', 'Pháp', 'Ba Lan']"
70,Volunteers,1985,"['Adventure', 'Comedy']",5.5,"After graduating from Yale in 1962, womanizing Lawrence flees a gambling debt that his rich dad won't pay and takes his roomie's place as Peace Corps Volunteer in Thai Golden Triangle with two other PCVs. Will he survive two years?","['Tom Hanks', 'John Candy', 'Rita Wilson', 'Tim Thomerson', 'Gedde Watanabe']",['Nicholas Meyer'],"['United States', 'Mexico']","Sau khi tốt nghiệp Yale năm 1962, nam giới Lawrence trốn tránh nợ thua bạc mà bố giàu của anh không trả và thay thế người bạn ở ký túc xá làm tình nguyện viên của Hội Chữ thập đỏ ở Vùng Sắt Vàng Thái Lan với hai tình nguyện viên khác. Anh có thể sống sót được 2 năm?","['Phiêu lưu', 'Hài']","['Hoa Kỳ', 'Mexico']"
71,In the Company of Men,1997,"['Comedy', 'Drama']",7.1,"Two business executives--one an avowed misogynist, the other recently emotionally wounded by his love interest--set out to exact revenge on the female gender by seeking out the most innocent, uncorrupted girl they can find and ruining her life.","['Aaron Eckhart', 'Stacy Edwards', 'Matt Malloy', 'Michael Martin', 'Mark Rector']",['Neil LaBute'],"['United States', 'Canada']","Hai giám đốc doanh nghiệp - một người bị cáo buộc là sex phàm tử, người khác vừa mới tổn thương cảm xúc bởi tình yêu của mình - ra đi với mục đích trừng phạt giới nữ bằng cách tìm kiếm cô gái ngây thơ nhất có thể và làm cho cuộc sống của cô trở nên tồi tệ.","['Hài', 'Chính kịch']","['Hoa Kỳ', 'Canada']"
72,Medicine Man,1992,"['Adventure', 'Drama', 'Romance']",6.0,"In the beautiful and dangerous Amazon rainforest, dissimilar people must make their choices between business, science, and love.","['Sean Connery', 'Lorraine Bracco', 'José Wilker', 'Rodolfo De Alejandre', 'Francisco Tsiren Tsere Rereme']",['John McTiernan'],['United States'],"Trong rừng mưa nguy hiểm và đẹp mắt của Amazon, những người khác biệt phải chọn giữa kinh doanh, khoa học và tình yêu.","['Phiêu lưu', 'Chính kịch', 'Lãng mạn']",['Hoa Kỳ']
73,Careful,1992,"['Comedy', 'Drama', 'Horror', 'Romance']",7.0,"The wary residents of a 19th century mountain village must tread carefully and speak softly lest they cause an avalanche. Sexual frenzies teem in this world of repression, setting off incestuous love triangles with deadly consequences.","['Kyle McCulloch', 'Gosia Dobrowolska', 'Sarah Neville', 'Brent Neale', 'Paul Cox']",['Guy Maddin'],['Canada'],"Các cư dân chừng mực của một ngôi làng núi ở thế kỷ 19 phải đi từng bước nhẹ nhàng và nói nhỏ để tránh gây ra một vụ lở tuyết. Cơn khát tình dục tràn đầy trong thế giới này của sự kiềm chế, kích động những cuộc yêu đồng tính vô cùng nguy hiểm.","['Hài', 'Chính kịch', 'Kinh dị', 'Lãng mạn']",['Canada']
74,Wide Awake,1998,"['Comedy', 'Drama', 'Family']",5.8,A 10-year-old boy goes on a search for God after his grandfather dies.,"['Joseph Cross', 'Timothy Reifsnyder', 'Dana Delany', 'Denis Leary', 'Robert Loggia']",['M. Night Shyamalan'],['United States'],Một cậu bé 10 tuổi đi tìm kiếm Chúa sau khi ông nội qua đời.,"['Hài', 'Chính kịch', 'Gia đình']",['Hoa Kỳ']
75,Vampires,1998,"['Action', 'Horror', 'Thriller']",6.1,"Recovering from an ambush that killed his entire team, a vengeful vampire slayer must retrieve an ancient Catholic relic that, should it be acquired by vampires, will allow them to walk in sunlight.","['James Woods', 'Daniel Baldwin', 'Sheryl Lee', 'Thomas Ian Griffith', 'Maximilian Schell']",['John Carpenter'],"['Japan', 'United States']","Sau một cuộc tấn công đã giết chết toàn bộ đội của anh ta, một sát thủ ma cà rồng khát máu phải thu thập một thi hài tôn giáo cổ xưa mà nếu nó được sở hữu bởi các ma cà rồng, sẽ cho phép họ đi dưới ánh sáng mặt trời.","['Hành động', 'Kinh dị', 'Giật gân']","['Nhật Bản', 'Hoa Kỳ']"
76,Prisoner of the Mountains,1996,"['Drama', 'War']",7.5,"Two Russian soldiers, one battle-seasoned and the other barely into his boots and uniform, are taken prisoner by an anxious Islamic father from a remote village hoping to trade them for his captured son.","['Oleg Menshikov', 'Sergey Bodrov', 'Jemal Sikharulidze', 'Susanna Mekhraliyeva', 'Aleksandr Bureyev']",['Sergei Bodrov'],"['Russia', 'Kazakhstan']","Hai binh sĩ Nga, một người có kinh nghiệm chiến đấu và người kia chỉ mới vừa bắt đầu phục vụ, bị bắt làm tù binh bởi một cha Muslim lo lắng từ một ngôi làng xa xôi hy vọng sẽ trao đổi họ để lấy lại con trai mình.","['Chính kịch', 'Chiến tranh']","['Nga', 'Kazakhstan']"
77,Pleasantville,1998,"['Comedy', 'Drama', 'Fantasy']",7.5,"Two 1990s teenage siblings find themselves transported to a 1950s sitcom where their influence begins to profoundly change that colorless, complacent world.","['William H. Macy', 'Joan Allen', 'Natalie Ramsey', 'Kevin Connors', 'Jeff Daniels']",['Gary Ross'],['United States'],Hai anh em nhỏ tuổi sống vào những năm 90 bị đưa đến một sitcom của thập niên 50 và ảnh hưởng của họ bắt đầu thay đổi thế giới đó.,"['Hài', 'Chính kịch', 'Giả tưởng']",['Hoa Kỳ']
78,Mars Attacks!,1996,"['Comedy', 'Sci-Fi']",6.4,Earth is invaded by Martians with unbeatable weapons and a cruel sense of humor.,"['Jack Nicholson', 'Glenn Close', 'Annette Bening', 'Pierce Brosnan', 'Danny DeVito']",['Tim Burton'],"['United States', 'Japan', 'United Kingdom']",Trái đất bị xâm lược bởi các hành tinh từ Mars với những vũ khí không thể đánh bại và một ý thức hài hước tàn nhẫn.,"['Hài', 'Khoa học viễn tưởng']","['Hoa Kỳ', 'Nhật Bản', 'Vương quốc Anh']"
79,Men with Guns,1997,"['Adventure', 'Drama']",7.6,"Humberto Fuentes is a wealthy doctor whose wife has recently died. In spite of the advice of his children, he takes a trip to visit his former students who now work in impoverished villages. His trip soon becomes a quest, politically awakening him when he finds out that one of his students was killed by the army.—Anonymous","['Federico Luppi', 'Damián Delgado', 'Dan Rivera González', 'Tania Cruz', 'Damián Alcázar']",['John Sayles'],"['United States', 'Mexico']",Bác sĩ Humberto Fuentes là một bác sĩ giàu có vừa mất vợ. Mặc dù các con trai ông đã khuyên nhủ nhưng ông vẫn quyết định đi một chuyến du lịch để gặp gỡ cựu học sinh của mình hiện đang làm việc trong những làng nghèo khổ. Chuyến hành trình của ông sớm trở thành một nhiệm vụ khi ông nhận ra rằng một trong những học trò cũ bị quân đội giết chết.,"['Phiêu lưu', 'Chính kịch']","['Hoa Kỳ', 'Mexico']"
80,The Relic,1997,"['Horror', 'Mystery', 'Sci-Fi', 'Thriller']",5.8,"A homicide detective and an anthropologist try to destroy a South American lizard-like God, who's on a people eating rampage in a Chicago museum.","['Penelope Ann Miller', 'Tom Sizemore', 'Linda Hunt', 'James Whitmore', 'Clayton Rohner']",['Peter Hyams'],"['United Kingdom', 'Germany', 'Japan', 'United States']","Một điệp viên homicides và một nhà nhân học cố gắng tiêu diệt một vị thần Nam Mỹ giống ếch có dạng rắn lưng trên, đang gây ra thảm họa ăn người ở một bảo tàng ở Chicago.","['Kinh dị', 'Bí ẩn', 'Khoa học viễn tưởng', 'Giật gân']","['Vương quốc Anh', 'Đức', 'Nhật Bản', 'Hoa Kỳ']"
81,Andre,1994,"['Adventure', 'Drama', 'Family']",5.7,The true story of how a seal named Andre befriended a little girl named Toni and her family in 1962.,"['Tina Majorino', 'Chelsea Field', 'Shane Thomas Meier', 'Aidan Pendleton', 'Shirley Broderick']",['George Miller'],['United States'],Câu chuyện thật về cách một chú hải li tên là André đã kết bạn với một cô bé nhỏ tên Tôni và gia đình cô vào năm 1962.,"['Phiêu lưu', 'Chính kịch', 'Gia đình']",['Hoa Kỳ']
82,Beloved,1998,"['Drama', 'History', 'Horror', 'Mystery']",6.1,A slave is visited by the spirit of a mysterious young woman.,"['Yada Beener', 'Emil Pinnock', 'Calen Johnson', 'Oprah Winfrey', 'Beah Richards']",['Jonathan Demme'],['United States'],Một nô lệ được đến thăm bởi tinh thần của một phụ nữ trẻ bí ẩn.,"['Chính kịch', 'Lịch sử', 'Kinh dị', 'Bí ẩn']",['Hoa Kỳ']
83,Quatermass 2,1957,"['Sci-Fi', 'Horror']",6.7,"Professor Quatermass, trying to gather support for his Lunar colonisation project, is intrigued by mysterious traces that have been showing up.","['Brian Donlevy', 'John Longden', 'Sidney James', 'Bryan Forbes', 'William Franklyn']",['Val Guest'],['United Kingdom'],"Giáo sư Quatermass, đang cố gắng tập hợp sự ủng hộ cho dự án định cư trên Mặt Trăng của mình, đã bị thu hút bởi những dấu vết bí ẩn đã xuất hiện.","['Khoa học viễn tưởng', 'Kinh dị']",['Vương quốc Anh']
84,Traveller,1997,"['Crime', 'Drama', 'Romance']",6.1,A man joins a group of nomadic con artists in rural North Carolina.,"['Bill Paxton', 'Mark Wahlberg', 'Julianna Margulies', 'James Gammon', 'Luke Askew']",['Jack N. Green'],['United States'],Một người đàn ông tham gia vào một nhóm lừa đảo du mục ở vùng nông thôn Bắc Carolina.,"['Tội phạm', 'Chính kịch', 'Lãng mạn']",['Hoa Kỳ']
85,Body Shots,1999,['Drama'],4.9,"A tale of the mysterious, but necessary, mating ritual between men and women of today and everything they think about sex but are afraid to say.","['Joe Basile', 'Scott Burkholder', 'Liz Coke', 'Allison Dunbar', 'Sean Patrick Flanery']",['Michael Cristofer'],['United States'],Một câu chuyện về nghi thức giao phối bí ẩn nhưng cần thiết giữa nam và nữ ngày nay và tất cả những gì họ nghĩ về tình dục mà sợ nói ra.,['Chính kịch'],['Hoa Kỳ']
86,Shanghai Triad,1995,"['Crime', 'Drama', 'History', 'Romance', 'Thriller']",7.1,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,"['Gong Li', 'Baotian Li', 'Xiaoxiao Wang', 'Xuejian Li', 'Chun Sun']",['Yimou Zhang'],"['France', 'China']",Một cậu bé ở nông thôn có mối quan hệ với một gia đình tội phạm tại Thượng Hải liên kết anh ta vào thời kỳ Thượng Hải của những năm 1930 để trở thành người hầu cho cô bạn gái của thủ lĩnh băng đảng này.,"['Tội phạm', 'Chính kịch', 'Lịch sử', 'Lãng mạn', 'Giật gân']","['Pháp', 'Trung Quốc']"
87,Poetic Justice,1993,"['Drama', 'Romance']",6.1,Grieving hairdresser Justice goes on a road trip from South Central L.A. to Oakland on a mail truck alongside her friend and an obnoxious postal worker.,"['Khandi Alexander', 'Maya Angelou', 'Ché J. Avery', 'Lloyd Avery II', 'Kimberly Brooks']",['John Singleton'],['United States'],Nữ stylist đang khóc than Justice đi xe bưu điện từ Nam Trung tâm Los Angeles đến Oakland cùng bạn thân và nhân viên bưu điện hung hăng.,"['Chính kịch', 'Lãng mạn']",['Hoa Kỳ']
88,Thinner,1996,"['Fantasy', 'Horror']",5.8,An obese attorney is cursed by a gypsy to rapidly and uncontrollably lose weight.,"['Robert John Burke', 'Lucinda Jenney', 'Bethany Joy Lenz', 'Time Winters', 'Howard Erskine']",['Tom Holland'],['United States'],Một luật sư béo phì bị một người gypsy nguyền rủa phải giảm cân nhanh và không kiểm soát được.,"['Giả tưởng', 'Kinh dị']",['Hoa Kỳ']
89,Down to You,2000,"['Comedy', 'Drama', 'Romance']",5.0,"College students Al and Imogen meet and fall in love, but fear of commitment causes them to go their separate ways.","['Freddie Prinze Jr.', 'Julia Stiles', 'Selma Blair', 'Shawn Hatosy', 'Zak Orth']",['Kris Isacsson'],['United States'],Học sinh đại học Al và Imogen gặp gỡ và rơi vào tình yêu nhưng lo sợ về cam kết khiến họ đi theo con đường riêng biệt nhau.,"['Hài', 'Chính kịch', 'Lãng mạn']",['Hoa Kỳ']
90,Nénette and Boni,1996,['Drama'],6.9,"A brother and sister reunite after time apart. But the sister is pregnant, which could either bring the siblings together or tear them apart.","['Grégoire Colin', 'Alice Houri', 'Jacques Nolot', 'Valeria Bruni Tedeschi', 'Vincent Gallo']",['Claire Denis'],['France'],"Một anh em ruột đã đoàn tụ sau thời gian xa cách. Nhưng chị gái đang mang thai, điều này có thể đưa hai người em lại gần nhau hay làm họ xa cách hơn.",['Chính kịch'],['Pháp']
91,Serial Mom,1994,"['Comedy', 'Crime', 'Thriller']",6.8,"She's the perfect all-American parent: a great cook and homemaker, a devoted recycler, and a woman who'll literally kill to keep her children happy.","['Kathleen Turner', 'Sam Waterston', 'Ricki Lake', 'Matthew Lillard', 'Scott Morgan']",['John Waters'],['United States'],"Cô ấy là một người mẹ Mỹ hoàn hảo: một bà nội trợ giỏi và có tài, một phụ nữ tận tâm tái chế, và một người đàn bà sẽ thực sự giết để giữ cho con cái mình hạnh phúc.","['Hài', 'Tội phạm', 'Giật gân']",['Hoa Kỳ']
